5	0.3733	0.3120
10	0.4052	0.3610
15	0.4437	0.3973
20	0.4685	0.4190
25	0.4862	0.4324
30	0.5043	0.4520
35	0.5296	0.4700
40	0.5511	0.4890
45	0.5659	0.5004
50	0.5801	0.5122

_1ucLPMTGWAouSCQuLRyig 0	0.1823 0.2000 | 0.4549 0.4000 | 0.4690 0.3333 | 0.4335 0.3500 | 0.3471 0.3200 | 0.3734 0.3000 | 0.4338 0.3429 | 0.4528 0.4000 | 0.4361 0.3778 | 0.4570 0.3200 | 
_1ucLPMTGWAouSCQuLRyig 1	0.1594 0.2000 | 0.3214 0.3000 | 0.2603 0.2000 | 0.5060 0.4000 | 0.4486 0.4000 | 0.4556 0.4333 | 0.4143 0.4571 | 0.4769 0.4500 | 0.5230 0.4667 | 0.5572 0.4400 | 
_1ucLPMTGWAouSCQuLRyig 2	0.1310 0.2000 | 0.1715 0.1000 | 0.1702 0.1333 | 0.2334 0.1000 | 0.1927 0.2000 | 0.2374 0.2000 | 0.2456 0.2857 | 0.3000 0.3000 | 0.4417 0.3556 | 0.4287 0.3600 | 
_1ucLPMTGWAouSCQuLRyig 3	0.2994 0.4000 | 0.2664 0.2000 | 0.3145 0.2000 | 0.2560 0.3000 | 0.3764 0.3200 | 0.2949 0.2333 | 0.4009 0.3714 | 0.4001 0.3750 | 0.4535 0.4222 | 0.4848 0.4400 | 
_1ucLPMTGWAouSCQuLRyig 4	0.1571 0.2000 | 0.3006 0.2000 | 0.3182 0.2667 | 0.3519 0.3000 | 0.3529 0.3600 | 0.3565 0.3333 | 0.3724 0.3714 | 0.4338 0.3750 | 0.4302 0.4000 | 0.5230 0.4600 | 
_1ucLPMTGWAouSCQuLRyig 5	0.3970 0.2000 | 0.3488 0.3000 | 0.6432 0.4667 | 0.5234 0.4500 | 0.5240 0.4400 | 0.5548 0.4333 | 0.4790 0.3429 | 0.4931 0.4500 | 0.4875 0.4444 | 0.4979 0.4600 | 
_1ucLPMTGWAouSCQuLRyig 6	0.0586 0.0000 | 0.2935 0.3000 | 0.3834 0.4000 | 0.3740 0.4000 | 0.4816 0.4400 | 0.4498 0.4333 | 0.4317 0.4000 | 0.4590 0.4250 | 0.5345 0.4444 | 0.5418 0.4800 | 
_1ucLPMTGWAouSCQuLRyig 7	0.0149 0.0000 | 0.0874 0.1000 | 0.2248 0.1333 | 0.2289 0.2000 | 0.2969 0.2400 | 0.2320 0.3000 | 0.4002 0.3143 | 0.3766 0.3750 | 0.4191 0.3778 | 0.3728 0.3600 | 
_1ucLPMTGWAouSCQuLRyig 8	0.2394 0.4000 | 0.2838 0.3000 | 0.2913 0.3333 | 0.3799 0.3000 | 0.3232 0.2800 | 0.4226 0.3667 | 0.4389 0.4286 | 0.5234 0.4000 | 0.5368 0.4222 | 0.5194 0.4400 | 
_1ucLPMTGWAouSCQuLRyig 9	0.2624 0.4000 | 0.4507 0.4000 | 0.3656 0.2667 | 0.4132 0.4000 | 0.3519 0.2800 | 0.3260 0.3667 | 0.3506 0.3429 | 0.4053 0.4000 | 0.4937 0.4444 | 0.5731 0.4800 | 
126e-FKfjsYqnhJTNCgmzw 0	0.9667 0.8000 | 0.9809 0.9000 | 1.0000 1.0000 | 0.9041 0.8000 | 0.9422 0.8400 | 0.9542 0.8667 | 0.9945 0.9429 | 0.9969 0.9750 | 0.9942 0.9556 | 0.9886 0.9600 | 
